user_id,prosthesis_type,muscle_group,signal_frequency,signal_duration,signal_amplitude,signal_time
950,arm,Biceps,261,3137,2.96,2025-02-03 07:46:56
901,hand,Deltoid,199,2023,1.87,2025-02-19 21:41:52
333,arm,Quadriceps,63,3461,4.04,2025-03-02 07:26:14
523,leg,Gastrocnemius,250,2047,2.26,2025-03-30 15:55:02
294,arm,Gastrocnemius,424,1375,1.07,2025-03-02 11:35:39
18,hand,Quadriceps,230,2865,2.13,2025-02-25 01:06:32
850,arm,Quadriceps,390,3161,3.81,2025-03-22 21:13:24
185,hand,Triceps,498,4392,1.13,2025-03-28 00:10:50
814,arm,Hamstrings,66,1304,1.16,2025-03-02 13:59:12
678,hand,Biceps,78,1742,1.01,2025-03-17 02:08:42
43,hand,Gastrocnemius,465,2190,4.18,2025-02-16 13:21:42
147,arm,Deltoid,54,2889,1.97,2025-02-26 11:50:14
835,arm,Biceps,331,1029,1.0,2025-02-16 09:15:08
571,arm,Quadriceps,442,4949,1.68,2025-02-27 17:23:23
642,arm,Gastrocnemius,498,772,3.21,2025-02-23 10:44:53
4,hand,Quadriceps,438,523,3.41,2025-02-06 12:46:11
625,hand,Gastrocnemius,490,1357,3.8,2025-03-20 17:12:25
651,leg,Biceps,148,2182,3.75,2025-02-28 15:18:41
912,leg,Quadriceps,133,3672,0.62,2025-03-19 00:48:58
923,leg,Deltoid,132,2078,2.14,2025-02-07 04:45:38
104,hand,Biceps,87,3458,0.76,2025-02-17 11:08:16
421,arm,Quadriceps,183,4755,4.07,2025-03-28 03:42:34
124,hand,Hamstrings,459,3026,2.48,2025-02-16 00:05:53
116,leg,Biceps,442,4112,4.27,2025-03-25 11:43:11
840,arm,Gastrocnemius,50,3902,1.44,2025-03-31 00:51:26
133,arm,Triceps,324,2684,2.4,2025-03-22 12:52:19
67,arm,Biceps,455,3725,1.7,2025-02-04 20:43:34
732,arm,Hamstrings,209,4984,4.03,2025-02-22 00:42:09
316,hand,Triceps,268,2236,2.74,2025-02-28 02:55:51
820,arm,Triceps,391,887,2.97,2025-03-30 02:28:37
989,arm,Gastrocnemius,341,4055,3.7,2025-04-02 11:04:53
884,arm,Biceps,274,850,4.73,2025-04-01 09:44:01
214,leg,Biceps,129,4803,0.94,2025-03-18 01:53:26
817,leg,Gastrocnemius,365,3648,2.0,2025-02-12 20:42:25
998,hand,Deltoid,398,1351,0.89,2025-02-14 04:42:51
660,arm,Deltoid,388,2973,2.14,2025-02-27 22:16:18
421,arm,Quadriceps,320,1250,4.96,2025-04-01 00:56:37
619,leg,Triceps,316,1328,2.54,2025-03-14 07:40:51
848,leg,Gastrocnemius,65,3544,1.83,2025-03-21 14:23:41
758,hand,Quadriceps,440,3274,1.39,2025-02-03 11:03:37
100,hand,Hamstrings,436,3951,3.48,2025-03-30 03:42:39
75,arm,Quadriceps,246,1612,2.78,2025-03-18 03:48:59
500,leg,Triceps,500,4802,2.74,2025-02-21 19:40:54
427,leg,Hamstrings,222,4439,1.29,2025-02-07 23:45:53
55,leg,Quadriceps,414,1677,2.16,2025-02-03 04:09:51
665,arm,Deltoid,401,3771,3.85,2025-02-12 17:56:15
521,leg,Triceps,445,4480,2.75,2025-02-01 15:09:17
359,leg,Quadriceps,376,4094,1.51,2025-02-28 23:54:56
484,hand,Hamstrings,74,4017,4.39,2025-03-17 02:20:28
475,arm,Biceps,69,3389,2.14,2025-03-22 07:44:35
712,leg,Quadriceps,293,3294,3.5,2025-02-03 05:08:41
460,arm,Deltoid,478,4341,2.43,2025-03-26 00:22:41
952,arm,Hamstrings,232,4959,1.9,2025-02-05 11:13:50
49,arm,Quadriceps,115,4736,0.55,2025-03-04 16:26:25
722,hand,Biceps,458,2043,1.33,2025-02-15 10:44:26
755,hand,Biceps,252,1100,2.12,2025-04-02 12:06:12
264,arm,Deltoid,111,3516,1.29,2025-02-06 02:27:52
661,leg,Gastrocnemius,423,4078,4.77,2025-03-18 01:26:03
97,hand,Quadriceps,251,3583,4.25,2025-03-19 10:23:22
65,hand,Quadriceps,144,1491,0.62,2025-02-26 16:20:02
846,arm,Hamstrings,211,2851,1.18,2025-03-11 15:23:14
548,arm,Quadriceps,291,1775,1.44,2025-02-16 22:30:35
227,hand,Triceps,150,4297,2.67,2025-02-22 15:40:28
475,hand,Gastrocnemius,418,2903,0.86,2025-02-26 14:06:58
893,leg,Hamstrings,245,4844,1.08,2025-03-22 01:10:44
427,leg,Gastrocnemius,396,2734,3.23,2025-03-22 09:11:58
533,arm,Deltoid,263,1179,3.12,2025-03-08 02:23:29
711,leg,Triceps,136,3320,3.65,2025-02-09 04:51:19
426,arm,Triceps,282,2697,3.28,2025-03-12 06:18:12
603,leg,Biceps,434,3032,4.68,2025-03-22 06:39:28
27,arm,Triceps,445,3228,3.3,2025-03-24 05:20:02
103,arm,Biceps,227,2265,0.88,2025-03-31 14:27:11
97,leg,Quadriceps,75,2441,3.45,2025-02-27 04:15:43
315,arm,Gastrocnemius,441,1547,3.12,2025-03-20 12:01:39
500,hand,Gastrocnemius,271,1808,4.61,2025-02-10 06:14:19
762,leg,Gastrocnemius,308,1698,4.95,2025-03-10 22:50:12
163,leg,Triceps,168,4584,4.53,2025-02-08 03:19:40
182,leg,Biceps,305,3819,1.54,2025-03-13 07:50:39
443,leg,Biceps,454,2697,1.63,2025-02-20 08:15:09
633,arm,Triceps,54,1241,2.35,2025-02-20 15:04:11
477,hand,Quadriceps,86,4072,2.95,2025-02-07 14:40:01
145,hand,Hamstrings,115,4113,4.16,2025-03-19 14:54:19
120,leg,Gastrocnemius,295,3373,2.18,2025-02-08 07:22:59
720,hand,Hamstrings,343,4817,0.92,2025-02-01 20:45:22
384,hand,Gastrocnemius,248,1733,1.3,2025-02-12 20:43:21
212,leg,Gastrocnemius,436,1676,4.17,2025-03-16 17:15:47
826,hand,Hamstrings,243,1818,1.66,2025-03-09 11:53:56
996,hand,Quadriceps,409,4045,3.59,2025-02-01 22:58:14
487,arm,Deltoid,356,2380,1.2,2025-03-11 11:28:51
731,leg,Hamstrings,414,530,3.44,2025-02-22 14:42:03
244,arm,Hamstrings,118,2718,1.32,2025-02-12 21:49:41
935,arm,Triceps,321,1526,1.28,2025-02-18 12:35:30
58,hand,Quadriceps,264,2627,4.88,2025-03-17 21:20:50
139,arm,Triceps,429,4089,5.0,2025-02-20 02:58:23
172,hand,Hamstrings,442,4246,2.95,2025-03-03 19:02:03
245,arm,Gastrocnemius,443,4006,1.53,2025-03-06 15:02:58
879,leg,Quadriceps,452,3559,4.9,2025-02-09 06:14:01
706,arm,Biceps,311,4906,2.77,2025-03-07 20:31:18
654,arm,Hamstrings,459,3713,4.13,2025-03-14 06:33:39
219,arm,Biceps,389,4733,4.47,2025-03-13 09:17:55
482,hand,Triceps,325,3703,1.94,2025-02-16 04:04:23
650,arm,Hamstrings,104,4088,4.34,2025-03-18 00:23:39
777,leg,Biceps,381,3700,4.8,2025-03-22 23:21:41
109,arm,Deltoid,150,2983,3.39,2025-02-16 14:37:40
318,arm,Quadriceps,219,2807,4.65,2025-03-10 22:49:43
261,leg,Gastrocnemius,238,4672,3.13,2025-02-11 14:31:33
67,leg,Triceps,123,4062,3.83,2025-03-15 11:25:43
505,leg,Triceps,157,3191,0.61,2025-03-14 07:10:55
630,arm,Hamstrings,176,4066,1.12,2025-03-10 16:24:24
767,arm,Biceps,82,2359,4.8,2025-03-15 05:15:03
884,hand,Hamstrings,222,2169,3.52,2025-02-26 17:58:04
551,hand,Deltoid,446,3615,4.9,2025-03-17 05:53:36
434,arm,Hamstrings,165,3430,2.91,2025-03-10 18:43:02
190,hand,Deltoid,224,4252,4.92,2025-03-18 03:01:31
19,leg,Deltoid,79,3788,0.78,2025-03-18 03:08:21
663,arm,Hamstrings,173,2054,3.88,2025-03-01 00:02:04
520,arm,Gastrocnemius,218,1629,3.62,2025-03-20 15:47:30
595,leg,Quadriceps,171,1441,2.4,2025-03-02 02:42:47
360,leg,Biceps,123,4195,3.13,2025-02-15 17:08:15
229,arm,Triceps,93,2677,3.95,2025-02-20 03:15:15
5,leg,Hamstrings,240,3472,4.87,2025-02-08 07:32:58
320,arm,Biceps,409,2790,0.85,2025-03-15 22:33:41
812,leg,Gastrocnemius,175,3512,4.33,2025-03-31 14:55:39
215,leg,Gastrocnemius,298,817,0.83,2025-03-22 01:53:06
104,hand,Gastrocnemius,150,4787,4.28,2025-03-06 22:47:00
940,leg,Deltoid,389,2168,4.83,2025-03-19 04:08:44
878,leg,Triceps,368,2978,4.35,2025-02-05 14:01:55
93,hand,Quadriceps,89,2644,2.35,2025-03-19 21:29:21
126,arm,Gastrocnemius,392,1629,4.02,2025-03-12 17:59:38
632,hand,Quadriceps,429,3164,4.48,2025-03-13 20:55:59
590,hand,Triceps,151,2336,4.03,2025-03-02 10:04:05
483,arm,Gastrocnemius,252,2422,3.65,2025-02-20 10:34:48
936,leg,Deltoid,193,4997,3.8,2025-03-19 16:06:28
700,arm,Triceps,295,4011,1.12,2025-03-15 14:46:07
882,hand,Triceps,460,2530,0.88,2025-03-12 18:59:18
346,arm,Hamstrings,401,4080,1.83,2025-02-16 18:47:03
909,leg,Gastrocnemius,239,3984,3.98,2025-03-13 01:16:55
865,arm,Hamstrings,286,4935,1.47,2025-02-05 06:13:55
696,arm,Quadriceps,492,2962,1.09,2025-02-12 09:05:25
366,arm,Gastrocnemius,423,4177,3.89,2025-02-01 09:32:39
8,leg,Triceps,274,4070,1.27,2025-02-19 09:19:49
978,arm,Deltoid,170,4121,1.52,2025-03-27 01:23:18
863,arm,Gastrocnemius,481,1026,1.37,2025-03-02 05:01:52
566,arm,Biceps,124,1958,4.83,2025-03-08 17:58:34
858,leg,Biceps,80,1237,1.59,2025-04-02 15:42:52
970,leg,Quadriceps,233,1989,3.62,2025-03-28 15:06:01
866,leg,Quadriceps,181,2240,4.51,2025-02-25 19:40:21
762,leg,Quadriceps,59,4889,1.32,2025-02-13 09:50:11
512,arm,Gastrocnemius,484,1640,1.91,2025-03-04 17:29:46
290,arm,Biceps,443,2349,4.11,2025-03-03 22:20:56
78,arm,Hamstrings,393,688,1.41,2025-03-04 21:26:02
784,leg,Quadriceps,468,4414,2.54,2025-02-14 12:07:36
565,leg,Gastrocnemius,227,1350,3.44,2025-02-13 01:14:33
798,leg,Quadriceps,430,2148,1.28,2025-02-27 09:48:42
766,leg,Triceps,349,1344,0.52,2025-03-08 08:27:42
84,arm,Hamstrings,391,3711,2.33,2025-03-25 20:36:54
357,leg,Hamstrings,289,4550,2.25,2025-03-20 05:05:58
443,leg,Biceps,235,2195,4.56,2025-02-04 22:54:53
6,hand,Triceps,360,1326,1.5,2025-03-15 11:37:48
273,leg,Triceps,207,4890,1.26,2025-03-03 17:02:19
295,hand,Gastrocnemius,65,1024,2.93,2025-02-23 23:05:16
929,arm,Quadriceps,161,855,2.9,2025-03-30 16:44:39
471,leg,Biceps,115,2826,1.69,2025-02-22 17:26:17
640,arm,Quadriceps,147,2261,4.71,2025-03-02 13:15:01
174,hand,Gastrocnemius,366,4591,0.74,2025-02-22 09:33:45
33,arm,Gastrocnemius,118,3495,3.62,2025-02-24 10:55:35
373,leg,Deltoid,73,1449,3.38,2025-03-13 18:11:57
335,hand,Triceps,312,3242,4.61,2025-03-19 21:15:30
293,leg,Quadriceps,434,2341,4.43,2025-02-21 21:31:48
629,hand,Deltoid,267,3413,3.91,2025-03-04 01:37:39
661,arm,Gastrocnemius,333,1648,2.9,2025-02-19 15:04:17
294,arm,Biceps,140,4545,2.11,2025-03-16 20:23:45
71,leg,Deltoid,487,2259,2.1,2025-02-28 03:59:42
670,hand,Biceps,411,4103,4.81,2025-02-12 16:58:57
245,arm,Triceps,317,1810,1.31,2025-03-14 22:00:35
162,arm,Triceps,223,796,2.92,2025-03-25 07:30:51
391,hand,Triceps,214,890,1.13,2025-04-01 07:54:33
127,hand,Quadriceps,494,1031,3.97,2025-03-07 02:01:35
749,leg,Biceps,229,1764,3.55,2025-03-21 22:28:52
537,hand,Gastrocnemius,77,928,1.53,2025-03-13 05:01:55
399,arm,Triceps,314,1172,4.47,2025-03-11 01:25:29
799,leg,Gastrocnemius,297,3052,4.92,2025-02-09 13:31:47
985,arm,Biceps,356,3973,2.08,2025-02-13 12:20:22
137,hand,Biceps,377,1004,3.89,2025-03-25 12:47:05
478,leg,Hamstrings,325,3549,1.93,2025-03-04 18:59:04
568,hand,Biceps,144,3903,2.33,2025-03-19 12:46:28
536,hand,Hamstrings,441,3544,4.62,2025-03-05 15:56:14
592,hand,Hamstrings,387,3590,0.86,2025-02-21 07:12:49
78,arm,Deltoid,332,3296,3.09,2025-03-28 22:59:55
438,leg,Biceps,294,2011,2.52,2025-02-22 01:00:28
48,hand,Biceps,253,4731,1.11,2025-02-12 08:40:59
138,leg,Biceps,432,1746,4.6,2025-02-05 11:56:21
529,arm,Quadriceps,364,3604,4.31,2025-03-04 09:58:13
550,arm,Hamstrings,483,2627,1.13,2025-03-22 12:17:37
847,leg,Biceps,99,1504,1.5,2025-03-02 01:52:49
237,arm,Gastrocnemius,383,1031,4.59,2025-02-21 13:07:18
56,arm,Deltoid,330,2090,1.28,2025-03-15 17:17:46
383,hand,Quadriceps,223,3949,3.31,2025-02-18 16:04:01
801,hand,Hamstrings,75,2145,3.51,2025-02-17 13:10:21
351,hand,Triceps,447,1643,1.27,2025-02-22 09:12:53
424,hand,Quadriceps,180,4950,4.29,2025-03-06 11:16:55
376,leg,Quadriceps,173,931,3.84,2025-02-24 21:01:11
820,hand,Biceps,126,749,0.8,2025-02-09 06:14:45
466,arm,Biceps,464,2403,2.91,2025-03-05 01:00:38
975,leg,Triceps,137,1412,2.27,2025-03-10 07:39:12
509,arm,Biceps,87,4394,3.37,2025-03-26 07:45:44
96,leg,Quadriceps,436,3624,4.23,2025-02-24 10:39:02
61,leg,Biceps,377,4659,4.6,2025-03-09 17:58:42
494,hand,Biceps,294,4857,1.97,2025-02-25 23:01:20
373,arm,Gastrocnemius,183,3508,4.3,2025-02-02 13:45:01
179,hand,Biceps,293,4235,3.35,2025-04-01 05:26:40
775,hand,Quadriceps,386,3498,3.68,2025-03-25 15:34:23
806,hand,Hamstrings,416,2909,4.48,2025-03-30 10:34:20
535,hand,Deltoid,245,2112,3.88,2025-02-11 19:39:01
754,arm,Deltoid,470,3109,4.16,2025-03-22 19:50:30
727,hand,Biceps,202,3139,3.98,2025-02-07 08:39:55
163,leg,Hamstrings,475,3435,0.52,2025-02-17 02:35:48
988,hand,Triceps,494,3850,3.81,2025-03-28 01:47:57
625,hand,Deltoid,94,4824,3.3,2025-02-18 05:41:08
588,arm,Hamstrings,293,1180,3.63,2025-03-22 00:55:00
485,leg,Hamstrings,300,1407,3.13,2025-03-11 06:41:20
947,arm,Hamstrings,85,2888,3.18,2025-02-28 13:47:14
271,leg,Triceps,101,3551,2.76,2025-02-18 08:38:44
998,hand,Triceps,212,1201,1.1,2025-03-17 03:19:09
931,arm,Quadriceps,255,1146,2.7,2025-03-14 23:47:15
483,hand,Biceps,87,2059,4.32,2025-02-19 11:25:04
562,arm,Gastrocnemius,439,4272,2.69,2025-03-10 23:56:47
506,arm,Gastrocnemius,480,3476,2.46,2025-02-05 23:25:30
299,arm,Triceps,414,4104,3.39,2025-03-02 16:31:19
914,arm,Gastrocnemius,321,4710,1.79,2025-03-24 18:07:21
387,arm,Quadriceps,183,803,0.73,2025-03-16 22:07:19
251,arm,Quadriceps,482,1321,1.16,2025-03-31 16:03:45
799,arm,Deltoid,287,1204,2.57,2025-03-28 03:52:07
948,hand,Gastrocnemius,138,1118,0.84,2025-03-30 23:02:47
347,leg,Triceps,433,543,1.71,2025-03-28 03:12:20
74,hand,Gastrocnemius,477,1263,0.98,2025-03-15 19:21:48
768,hand,Gastrocnemius,363,4070,4.96,2025-02-13 02:18:07
859,arm,Quadriceps,166,2828,0.84,2025-03-13 01:27:24
709,hand,Triceps,272,2855,2.17,2025-03-11 10:37:13
790,hand,Triceps,285,2621,2.24,2025-02-21 10:03:25
884,hand,Deltoid,499,2730,4.99,2025-02-26 16:58:10
252,arm,Gastrocnemius,496,870,1.12,2025-02-16 05:30:21
606,arm,Gastrocnemius,224,2655,2.74,2025-02-15 14:55:53
346,hand,Quadriceps,434,1355,1.7,2025-03-26 03:42:36
881,arm,Quadriceps,354,2426,0.72,2025-03-21 05:59:14
236,leg,Gastrocnemius,88,4439,0.56,2025-03-24 17:34:28
737,leg,Hamstrings,121,2601,2.95,2025-02-04 22:21:22
252,hand,Deltoid,50,3879,1.65,2025-02-18 11:13:31
46,leg,Hamstrings,484,1679,1.14,2025-02-08 03:27:30
719,leg,Quadriceps,426,3069,1.24,2025-02-16 18:53:14
656,leg,Gastrocnemius,361,612,3.1,2025-02-01 21:40:13
862,leg,Gastrocnemius,282,3335,0.63,2025-03-01 02:42:19
135,leg,Deltoid,393,4980,3.9,2025-02-27 22:49:15
428,leg,Triceps,175,2717,3.36,2025-03-23 03:52:00
329,leg,Biceps,81,4373,4.39,2025-03-11 00:46:04
639,arm,Deltoid,139,3762,3.81,2025-03-26 12:17:39
191,leg,Hamstrings,80,3136,3.72,2025-02-19 00:51:54
670,arm,Hamstrings,474,597,4.4,2025-03-23 07:55:59
849,hand,Triceps,82,3642,2.1,2025-03-10 04:51:13
995,leg,Quadriceps,314,3641,3.78,2025-03-08 01:46:36
789,hand,Deltoid,455,857,2.43,2025-03-15 15:48:00
227,leg,Gastrocnemius,418,2345,0.93,2025-02-18 14:17:49
839,arm,Quadriceps,179,3167,3.37,2025-03-15 05:50:38
266,arm,Biceps,493,4297,0.92,2025-03-18 06:30:56
98,arm,Deltoid,448,3019,2.86,2025-02-28 06:11:35
47,leg,Triceps,462,2313,2.71,2025-03-24 05:01:32
902,leg,Deltoid,116,2173,1.52,2025-03-10 10:15:15
636,arm,Deltoid,311,2877,0.73,2025-02-14 15:44:46
749,arm,Quadriceps,199,724,3.91,2025-02-17 05:52:14
910,hand,Gastrocnemius,296,2245,2.95,2025-02-07 00:30:44
380,leg,Gastrocnemius,105,864,1.64,2025-03-18 16:54:50
528,leg,Biceps,259,1988,4.49,2025-02-16 18:09:07
516,arm,Gastrocnemius,353,2910,2.06,2025-02-08 18:21:29
101,arm,Hamstrings,213,1866,1.09,2025-04-02 03:50:36
687,hand,Gastrocnemius,428,2191,2.43,2025-02-02 02:28:08
738,arm,Quadriceps,253,4439,4.86,2025-03-28 02:29:01
461,arm,Triceps,113,3808,0.76,2025-04-02 23:16:04
246,leg,Triceps,126,4377,1.09,2025-03-18 16:39:41
419,arm,Triceps,164,3124,4.98,2025-02-16 13:32:49
305,leg,Quadriceps,423,1627,0.58,2025-02-07 06:13:09
84,arm,Biceps,279,1859,2.76,2025-02-27 06:39:31
199,leg,Gastrocnemius,418,1002,0.72,2025-02-05 11:22:54
746,hand,Triceps,131,2002,2.23,2025-03-07 10:12:35
158,hand,Gastrocnemius,226,3570,3.83,2025-03-28 00:06:33
515,leg,Quadriceps,328,2453,2.2,2025-03-24 09:09:25
350,arm,Deltoid,158,3057,4.26,2025-02-20 09:20:50
669,leg,Gastrocnemius,52,774,0.67,2025-03-22 01:53:41
112,leg,Gastrocnemius,318,3510,0.88,2025-03-10 04:33:04
150,hand,Hamstrings,75,2834,1.47,2025-03-20 07:37:53
303,hand,Biceps,394,4257,4.89,2025-03-04 06:04:09
411,arm,Quadriceps,341,1778,3.91,2025-03-26 08:22:05
541,leg,Gastrocnemius,192,3939,1.05,2025-03-21 08:56:32
414,arm,Triceps,292,3964,4.02,2025-03-26 21:05:02
313,hand,Gastrocnemius,300,3621,4.69,2025-02-21 14:20:52
413,arm,Quadriceps,169,2102,0.61,2025-02-04 10:12:03
940,hand,Gastrocnemius,233,3860,4.38,2025-02-18 12:47:33
546,hand,Biceps,359,2422,4.58,2025-03-21 19:10:08
585,hand,Quadriceps,459,539,0.65,2025-03-26 09:34:25
670,hand,Biceps,57,2438,4.74,2025-03-08 16:38:47
382,hand,Biceps,456,4946,4.01,2025-02-27 13:17:32
642,leg,Biceps,73,3488,3.71,2025-03-04 01:32:43
381,arm,Hamstrings,85,3851,1.13,2025-04-01 13:21:06
129,hand,Hamstrings,390,4086,0.57,2025-03-02 09:31:37
693,arm,Biceps,398,4739,4.45,2025-02-11 21:40:06
29,arm,Hamstrings,94,3014,2.3,2025-02-14 12:06:07
454,hand,Biceps,269,2103,2.49,2025-03-17 06:10:55
519,arm,Triceps,360,1314,4.94,2025-02-02 17:44:49
902,arm,Biceps,445,2621,4.83,2025-02-03 03:08:40
893,hand,Deltoid,161,2318,4.58,2025-03-07 09:34:58
929,hand,Biceps,389,1821,4.66,2025-03-05 17:43:23
900,arm,Quadriceps,157,2801,2.37,2025-03-02 17:19:43
571,arm,Deltoid,402,671,3.11,2025-02-17 12:44:44
21,arm,Biceps,389,2808,2.45,2025-02-06 05:43:24
188,leg,Biceps,60,924,2.73,2025-02-18 08:01:59
470,arm,Gastrocnemius,276,3821,4.05,2025-02-01 13:42:56
200,leg,Biceps,479,3982,1.77,2025-02-10 16:20:20
740,arm,Hamstrings,221,2963,4.05,2025-02-26 22:21:54
141,arm,Biceps,58,3881,3.78,2025-03-09 19:00:34
712,arm,Gastrocnemius,62,3864,4.43,2025-03-07 12:03:30
117,leg,Deltoid,162,672,4.67,2025-02-25 00:14:15
271,hand,Deltoid,185,3238,4.87,2025-03-18 17:44:43
795,arm,Quadriceps,254,3950,2.34,2025-03-02 21:38:55
638,leg,Gastrocnemius,53,1797,2.25,2025-03-15 00:17:29
815,arm,Quadriceps,181,2701,3.17,2025-03-26 00:02:43
209,arm,Deltoid,163,1340,4.43,2025-02-21 11:12:15
498,hand,Biceps,303,2493,2.37,2025-03-09 03:50:58
501,arm,Triceps,140,810,4.49,2025-03-28 21:41:12
418,leg,Gastrocnemius,354,4313,3.52,2025-02-13 19:36:24
564,hand,Gastrocnemius,80,3507,2.89,2025-03-21 20:10:18
477,hand,Triceps,114,620,2.66,2025-02-19 14:51:54
275,hand,Gastrocnemius,285,822,4.94,2025-02-03 07:34:04
203,hand,Triceps,413,3445,2.34,2025-02-19 04:34:00
331,leg,Deltoid,207,4804,2.12,2025-03-19 04:50:03
344,hand,Hamstrings,427,4310,4.48,2025-03-04 03:11:51
690,hand,Deltoid,114,1631,4.07,2025-02-24 21:17:21
183,arm,Biceps,249,3846,1.92,2025-02-14 06:38:12
850,hand,Hamstrings,124,2203,4.58,2025-03-05 03:08:11
393,arm,Deltoid,464,4469,3.63,2025-03-30 22:45:28
90,leg,Gastrocnemius,434,2857,0.76,2025-03-11 14:02:35
512,arm,Hamstrings,181,2603,3.78,2025-03-30 17:12:30
318,arm,Triceps,286,2179,3.2,2025-03-01 11:09:59
330,hand,Hamstrings,419,3523,1.27,2025-02-20 13:04:29
300,arm,Deltoid,194,3236,0.83,2025-02-20 01:18:26
663,leg,Triceps,399,3087,3.98,2025-03-06 22:50:07
159,leg,Triceps,144,1020,1.03,2025-03-25 12:47:39
665,arm,Gastrocnemius,135,1447,4.97,2025-02-28 05:38:52
177,hand,Deltoid,111,3628,2.58,2025-02-26 20:04:51
429,hand,Quadriceps,285,2869,1.65,2025-03-04 06:30:57
363,arm,Quadriceps,70,4895,3.86,2025-03-08 22:07:19
17,arm,Quadriceps,322,1909,4.15,2025-02-19 18:39:35
358,leg,Quadriceps,282,810,3.04,2025-03-10 08:44:52
511,hand,Biceps,309,4177,3.72,2025-02-19 06:50:37
455,arm,Quadriceps,56,4218,4.71,2025-02-22 01:12:38
78,arm,Gastrocnemius,56,787,2.02,2025-02-24 14:35:51
714,hand,Triceps,419,2566,3.95,2025-02-25 18:48:29
695,leg,Biceps,148,1695,2.79,2025-02-22 23:24:47
73,leg,Gastrocnemius,434,3304,1.7,2025-03-25 05:46:19
933,hand,Deltoid,318,1968,2.66,2025-03-20 11:56:39
541,hand,Gastrocnemius,56,4014,0.73,2025-03-04 13:04:58
704,arm,Biceps,195,1449,1.44,2025-02-27 01:03:05
209,hand,Deltoid,88,4848,0.73,2025-03-15 18:41:19
211,hand,Gastrocnemius,321,3598,1.01,2025-03-08 20:15:57
378,leg,Deltoid,338,4647,4.72,2025-03-21 00:41:49
790,arm,Gastrocnemius,159,1993,3.01,2025-03-12 02:22:00
585,hand,Triceps,51,1729,1.82,2025-03-23 22:31:16
63,arm,Quadriceps,58,4163,2.05,2025-02-05 03:52:53
769,hand,Biceps,460,4532,4.17,2025-03-07 08:43:04
119,arm,Biceps,221,4931,1.81,2025-03-26 18:12:41
715,leg,Triceps,161,2207,4.94,2025-02-07 03:14:34
699,arm,Quadriceps,292,4044,4.45,2025-03-21 03:02:38
518,arm,Quadriceps,56,1854,2.47,2025-03-19 16:00:59
